image_name,path,date_time,localisation,cluster,categories
IMG_20250105_144147.jpg,temp\IMG_20250105_144147.jpg,2025:01:05 14:41:47,"{1: 'N', 2: (46.0, 48.0, 43.43), 3: 'W', 4: (71.0, 12.0, 19.53), 5: b'\x00', 6: 33.7, 7: (19.0, 41.0, 48.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_144436.jpg,temp\IMG_20250105_144436.jpg,2025:01:05 14:44:36,"{1: 'N', 2: (46.0, 48.0, 43.43), 3: 'W', 4: (71.0, 12.0, 19.53), 5: b'\x00', 6: 34.5, 7: (19.0, 44.0, 36.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_144540.jpg,temp\IMG_20250105_144540.jpg,2025:01:05 14:45:40,"{1: 'N', 2: (46.0, 48.0, 43.31), 3: 'W', 4: (71.0, 12.0, 20.08), 5: b'\x00', 6: 35.099, 7: (19.0, 45.0, 29.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_144750.jpg,temp\IMG_20250105_144750.jpg,2025:01:05 14:47:50,"{1: 'N', 2: (46.0, 48.0, 43.31), 3: 'W', 4: (71.0, 12.0, 20.25), 5: b'\x00', 6: 35.099, 7: (19.0, 47.0, 30.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_145543_BURST1.jpg,temp\IMG_20250105_145543_BURST1.jpg,2025:01:05 14:55:42,"{1: 'N', 2: (46.0, 48.0, 43.17), 3: 'W', 4: (71.0, 12.0, 19.66), 5: b'\x00', 6: 34.2, 7: (19.0, 55.0, 42.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_150144.jpg,temp\IMG_20250105_150144.jpg,2025:01:05 15:01:45,"{1: 'N', 2: (46.0, 48.0, 43.33), 3: 'W', 4: (71.0, 12.0, 19.84), 5: b'\x00', 6: 33.4, 7: (20.0, 1.0, 44.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_161636.jpg,temp\IMG_20250105_161636.jpg,2025:01:05 16:16:36,"{1: 'N', 2: (46.0, 48.0, 48.99), 3: 'W', 4: (71.0, 12.0, 11.3), 5: b'\x01', 6: 14.5, 7: (21.0, 16.0, 31.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_165438.jpg,temp\IMG_20250105_165438.jpg,2025:01:05 16:54:39,"{1: 'N', 2: (46.0, 48.0, 44.34), 3: 'W', 4: (71.0, 12.0, 12.05), 5: b'\x01', 6: 21.2, 7: (21.0, 54.0, 41.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_165450.jpg,temp\IMG_20250105_165450.jpg,2025:01:05 16:54:51,"{1: 'N', 2: (46.0, 48.0, 44.58), 3: 'W', 4: (71.0, 12.0, 11.98), 5: b'\x01', 6: 20.4, 7: (21.0, 54.0, 52.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
IMG_20250105_165457.jpg,temp\IMG_20250105_165457.jpg,2025:01:05 16:54:58,"{1: 'N', 2: (46.0, 48.0, 44.62), 3: 'W', 4: (71.0, 12.0, 12.01), 5: b'\x01', 6: 17.5, 7: (21.0, 54.0, 57.0), 27: b'ASCII\x00\x00\x00CELLID\x00', 29: '2025:01:05'}",cluster_1,2025_01_05_Bâtiment
